Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ANIP,"ANI Pharmaceuticals, Inc.",59.26,686897830.6,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anip
ANIK,Anika Therapeutics Inc.,49.64,725896889,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anik
ANSS,"ANSYS, Inc.",95.36,8251227784,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anss
ATRS,"Antares Pharma, Inc.",2.03,314826055.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atrs
ANTH,"Anthera Pharmaceuticals, Inc.",1.91,80134290.66,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anth
ABAC,"Aoxin Tianli Group, Inc.",3.39,27080150.55,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abac
APOG,"Apogee Enterprises, Inc.",50.82,1468532276,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apog
APOL,"Apollo Education Group, Inc.",9.59,1051300883,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apol
AINV,Apollo Investment Corporation,6.07,1334059465,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ainv
AMEH,"Apollo Medical Holdings, Inc.",4.23,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ameh
APPF,"AppFolio, Inc.",22.2,748067161.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/appf
AAPL,Apple Inc.,113.95,6.07617E+11,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aapl
ARCI,"Appliance Recycling Centers of America, Inc.",1.12,7454008.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arci
APDN,Applied DNA Sciences Inc,2.175,52371294.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apdn
APDNW,Applied DNA Sciences Inc,0.7,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apdnw
AGTC,Applied Genetic Technologies Corporation,9.5,171648698,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agtc
AMAT,"Applied Materials, Inc.",32.35,34966916242,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amat
AMCC,Applied Micro Circuits Corporation,8.7,762478239.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amcc
AAOI,"Applied Optoelectronics, Inc.",24.74,425536238.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaoi
AREX,Approach Resources Inc.,3.91,162688742.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arex
APTI,"Apptio, Inc.",17.02,652068997.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apti
APRI,"Apricus Biosciences, Inc.",1.14,8815853.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apri
APVO,Aptevo Therapeutics Inc.,1.99,40295159.76,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apvo
APTO,"Aptose Biosciences, Inc.",1.05,13905940.65,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apto
AQMS,"Aqua Metals, Inc.",11.82,211326529.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aqms
AQXP,"Aquinox Pharmaceuticals, Inc.",14.73,345022999.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aqxp
ARDM,Aradigm Corporation,2.1,31397286.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ardm
ARLZ,Aralez Pharmaceuticals Inc.,5.08,324918420.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arlz
PETX,"Aratana Therapeutics, Inc.",7.9,292650143.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/petx
ABUS,Arbutus Biopharma Corporation,3.25,178234855.5,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abus
ARCW,"ARC Group Worldwide, Inc.",4.3,80820688.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arcw
ABIO,"ARCA biopharma, Inc.",2.4,21797678.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abio
RKDA,"Arcadia Biosciences, Inc.",1.19,52930327.73,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rkda
ARCB,ArcBest Corporation,32.45,831450319.7,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arcb
ACGL,Arch Capital Group Ltd.,86.19,10574999394,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acgl
ACGLP,Arch Capital Group Ltd.,21.17,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acglp
APLP,"Archrock Partners, L.P.",15.05,986051905,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aplp
